region,dataDate,MinT,MaxT
中部地區,2026-04-20,19,31
中部地區,2026-04-21,20,31
中部地區,2026-04-22,21,31
中部地區,2026-04-23,22,31
中部地區,2026-04-24,20,26
中部地區,2026-04-25,20,25
中部地區,2026-04-26,21,30
北部地區,2026-04-20,19,33
北部地區,2026-04-21,21,30
北部地區,2026-04-22,21,31
北部地區,2026-04-23,22,28
北部地區,2026-04-24,20,23
北部地區,2026-04-25,20,25
北部地區,2026-04-26,20,29
南部地區,2026-04-20,21,32
南部地區,2026-04-21,22,32
南部地區,2026-04-22,22,33
南部地區,2026-04-23,22,33
南部地區,2026-04-24,21,29
南部地區,2026-04-25,21,28
南部地區,2026-04-26,21,31
東北部地區,2026-04-20,18,27
東北部地區,2026-04-21,20,26
東北部地區,2026-04-22,20,28
東北部地區,2026-04-23,22,27
東北部地區,2026-04-24,20,23
東北部地區,2026-04-25,20,21
東北部地區,2026-04-26,20,27
東南部地區,2026-04-20,22,29
東南部地區,2026-04-21,22,29
東南部地區,2026-04-22,22,29
東南部地區,2026-04-23,24,34
東南部地區,2026-04-24,22,28
東南部地區,2026-04-25,22,28
東南部地區,2026-04-26,23,29
東部地區,2026-04-20,21,28
東部地區,2026-04-21,22,27
東部地區,2026-04-22,22,28
東部地區,2026-04-23,23,29
東部地區,2026-04-24,20,25
東部地區,2026-04-25,20,24
東部地區,2026-04-26,21,27
